53.84,76.86
47.36,57.8
52.47,75.81
17.66,3.08
17.16,4.94
20.72,5.03
48.87,54.55
22.66,6.37
53.5,69.32
51.5,80.63
40.17,43.2
20.78,5.23
26.28,8.9
28.24,10.34
43.32,40.53
24.52,8.45
28.54,11.45
40.74,39.27
42.05,40.01
43.5,44.38
45.17,58.43
17.74,3.8
58.68,102.09
24.43,7.56
51.32,70.34
43.96,39.64
40.03,38.15
53.3,75.56
57.93,100.01
28.95,10.61
48.38,54.65
28.84,10.86
18.78,4.79
24.52,7.3
46.62,58.9
26.78,9.0
22.06,6.3
42.39,38.36
22.24,6.07
58.86,98.9
56.17,93.14
53.75,71.94
17.59,1.29
18.9,2.62
17.81,4.87
17.45,4.7
24.81,7.71
22.69,6.73
45.34,56.5
26.02,9.66
26.71,9.35
24.17,8.06
42.13,42.84
45.03,54.22
20.8,5.3
18.2,3.69
26.67,9.11
46.13,52.38
43.79,39.23
56.48,97.06
22.49,6.93
20.2,5.87
46.73,50.13
28.05,11.31
58.16,109.01
43.6,40.39
24.36,7.13
24.79,7.12
18.47,1.07
55.17,109.01
24.24,7.97
41.51,37.54
28.93,10.92
43.35,42.64
22.16,6.5
50.32,70.57
28.9,11.38
26.9,8.98
58.94,91.04
50.16,69.39
24.92,7.57
41.04,40.79
20.64,5.7
24.07,7.19
47.02,53.82
28.41,10.67
22.65,6.03
20.35,5.75
22.11,6.13
43.78,43.69
24.96,7.37
18.6,1.82
42.52,43.31
20.02,5.9
46.0,58.93
17.36,3.6
50.47,74.58
40.12,38.27
40.71,38.93
53.45,79.6
47.85,54.37
41.3,42.0
22.87,6.82
46.43,58.21
45.46,49.6
47.28,50.28
22.65,6.39
24.16,8.4
43.89,42.46
45.42,56.99
28.77,11.01
40.61,44.2
50.07,74.88
20.1,5.75
26.73,9.1
22.24,6.44
48.38,52.89
58.22,92.28
26.54,8.8
24.58,7.71
45.49,50.66
26.34,8.83
41.9,42.4
18.6,2.51
48.97,51.01
58.28,102.12
53.45,78.72
26.13,8.89
57.19,93.75
56.87,105.99
26.07,9.58
17.4,3.77
24.89,7.0
42.16,38.57
51.65,76.63
24.38,8.19
22.25,6.99
26.06,8.82
42.7,44.27
26.06,8.63
22.73,6.06
48.4,50.68
20.51,5.06
24.43,7.21
56.75,103.52
24.07,8.02
41.51,42.76
56.0,99.36
24.06,7.37
28.18,10.43
43.98,37.44
52.29,73.1
20.01,5.09
28.66,10.37
26.12,8.88
26.94,9.48
47.33,56.06
42.19,41.15
20.73,5.66
28.14,11.1
24.12,8.18
53.44,73.93
26.01,9.93
51.02,70.23
48.66,52.44
28.82,11.19
51.45,81.08
17.56,4.82
58.84,101.11
20.26,6.0
22.88,6.15
53.2,69.21
28.59,10.9
28.75,10.37
20.94,5.96
20.71,5.82
40.51,45.08
53.12,70.19
22.03,6.65
46.47,50.37
57.04,102.63
47.85,50.19
20.01,5.8
50.6,81.12
18.48,3.85
55.78,103.35
43.68,40.92
28.07,11.05
26.55,8.64
28.68,11.12
22.06,6.14
56.82,104.59
56.95,99.23
51.09,76.68
26.59,9.92
45.54,56.96
28.4,11.17
24.95,7.2
22.6,6.68
24.35,8.38
47.95,51.8
42.43,38.82
22.87,6.91
18.73,2.45
28.55,11.15
45.55,52.67
58.61,102.01
47.08,52.74
55.63,109.39
48.23,50.58
58.89,102.27
18.99,3.03
55.69,102.08
20.38,5.66
24.84,7.85
20.19,5.85
28.33,10.88
55.69,97.68
20.99,5.41
26.93,8.77
50.17,78.2
22.97,6.82
40.15,38.6
51.0,79.02
18.74,4.04
20.45,5.88
56.98,104.65
57.8,101.9
28.56,10.36
45.72,52.36
46.05,50.4
45.67,54.61
58.84,109.99
17.07,4.94
48.69,58.24
20.77,5.6
28.77,10.76
20.68,5.4
28.61,10.4
