22.82,6.4
28.91,10.78
35.88,25.85
22.62,6.73
42.63,39.43
46.47,55.65
55.32,104.86
22.41,6.6
57.58,94.61
20.74,5.96
28.57,10.46
46.82,49.21
48.5,51.09
24.73,7.86
26.97,9.37
50.63,73.09
24.72,8.12
58.23,102.53
52.94,78.25
41.76,38.9
28.19,11.43
22.92,6.61
18.96,2.3
26.35,8.79
42.28,40.22
28.82,11.03
41.36,38.36
40.84,42.67
28.87,11.17
28.81,10.01
24.17,7.7
50.1,74.05
20.25,5.02
22.09,6.16
38.65,26.24
28.3,10.74
18.34,3.4
22.25,6.02
56.77,101.91
28.77,11.35
47.75,56.98
52.93,77.66
36.78,27.56
28.24,11.1
35.16,26.11
24.07,7.61
47.92,53.67
48.06,56.38
24.38,7.17
47.39,59.22
26.44,8.82
41.13,43.4
22.73,6.25
18.29,4.45
35.92,25.46
22.85,6.87
18.86,2.02
50.39,78.8
38.81,26.36
41.65,41.52
24.88,7.67
56.55,96.73
38.06,26.29
24.44,7.51
37.0,29.33
41.81,45.04
42.58,42.91
24.58,8.41
38.67,26.91
40.79,38.1
26.23,9.16
17.35,2.05
26.57,8.67
26.45,9.14
19.0,3.17
17.34,3.05
20.67,5.29
20.5,5.7
24.54,8.46
26.46,8.89
38.83,26.45
20.9,5.8
24.46,7.33
22.09,6.43
40.14,38.29
22.6,6.58
24.33,7.65
53.05,79.6
17.48,1.01
26.99,9.66
28.6,10.35
52.73,71.16
22.38,6.62
24.34,7.2
45.17,53.8
52.91,76.88
26.52,9.02
28.31,10.51
22.57,6.06
22.49,6.84
38.66,25.77
26.7,9.0
43.14,42.22
28.27,10.12
22.24,6.59
18.99,1.29
38.06,25.35
41.21,37.49
46.91,56.99
17.48,1.09
42.73,44.06
28.12,10.42
17.43,1.28
57.01,108.61
26.57,8.62
22.26,6.03
22.05,6.87
55.68,107.66
18.32,1.36
47.51,58.74
36.33,27.98
50.28,67.93
47.71,55.08
50.91,73.92
17.28,3.67
50.17,80.89
24.82,7.15
28.73,10.1
36.45,28.69
51.32,79.39
20.16,5.9
38.08,28.0
26.48,9.57
22.33,6.98
18.96,2.56
53.22,78.71
28.03,11.17
51.4,74.47
38.86,25.62
